Altium Designer Pick and Place Locations
D:\project\CameraCapture\hardware\sch&pcb\CameraMainBoard\Project Outputs for CameraMainBoard\Pick Place for Camera-M-PCB.csv

========================================================================================================================
File Design Information:

Date:       03/10/23
Time:       15:17
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","ComponentLink1URL"
"R17","4.7K","TopLayer","R0402_M","23.1799","8.5875","90","贴片电阻",""
"R15","4.7K","TopLayer","R0402_M","22.1488","8.5852","90","贴片电阻",""
"TP9","VCPU","TopLayer","TEST_1.6","25.6032","8.5344","0","测试点",""
"Q7","SI2301","TopLayer","SOT23-3N","29.8450","19.0500","180","P沟道 20V/2.8A",""
"C60","NC","TopLayer","C0402_L","26.4483","10.2561","0","贴片电容/MLCC电容",""
"C59","NC","TopLayer","C0402_L","26.4133","13.0780","180","贴片电容/MLCC电容",""
"JP1","HDR-1X4","TopLayer","MX1.25-L-4P","30.5408","46.8122","0","4P连接器",""
"D5","SS34","TopLayer","SMA","23.4950","31.7500","270","肖特基二极管",""
"R39","10K","TopLayer","R0603_M","15.3801","44.1210","90","贴片电阻",""
"R38","1K","TopLayer","R0603_M","13.9831","44.1212","270","贴片电阻",""
"Q6","MMBT3904","TopLayer","SOT23-3N","14.7451","47.5630","0","高频放大-NPN型",""
"Q5","SI2301","TopLayer","SOT23-3N","21.7432","47.5550","270","P沟道 20V/2.8A",""
"C58","100nF","TopLayer","C0603_M","26.0612","47.5295","90","贴片电容/MLCC电容",""
"C57","10uF","TopLayer","C0603_M","24.6642","47.5424","90","贴片电容/MLCC电容",""
"Y1","24.000Mhz","BottomLayer","XTAL3225","19.3224","5.1668","180","有源晶振",""
"X1","8M","TopLayer","XTAL-3225-4P","25.5270","17.9070","270","4脚无源晶振(谐振器）",""
"USBC1","TYPE-C 2.0 -16P","TopLayer","USB-C-SMD_16P","30.7340","11.6840","270","USB2.0_Type-C_16Pin母座",""
"U8","SU-03T","BottomLayer","SU-03T","9.7860","16.4945","0","离线语音识别模块V1.8",""
"U7","OV2640","TopLayer","OV2640-24","18.8849","-2.9528","180","",""
"U6","XC6219B282MR","BottomLayer","SOT-23-5","26.1620","13.8430","270","LDO 1.8V/0.3A",""
"U5","XC6219B132MR","BottomLayer","SOT-23-5","22.4282","13.6398","270","LDO 1.8V/0.3A",""
"U4","NS4115","TopLayer","SOT89-5M","30.8610","38.4810","90","NS4115 LED恒流驱动IC，最大输出电流1A，输入支持PWM调光",""
"U2","STM32F407VET6","TopLayer","LQFP100_V","14.0716","17.7800","180","ARM Cortex-M4 32b MCU+FPU, 210DMIP, 512 kB Flash, 192+4 kB RAM, Camera, 82 I/Os, 100-pin LQFP, -40 to +85癈, Tray","http://www.st.com/"
"U1","XC6228D332VR-G","BottomLayer","SOT-23-5","24.6442","31.5366","0","LDO 1.8V/0.3A",""
"TP8","JTCK","BottomLayer","TEST_1.6","8.7630","4.5974","270","测试点",""
"TP7","JTMS","BottomLayer","TEST_1.6","10.9220","4.5974","270","测试点",""
"TP6","RXD","BottomLayer","TEST_1.6","10.5410","46.3550","0","测试点",""
"TP5","TXD","BottomLayer","TEST_1.6","12.7508","46.3550","0","测试点",""
"TP3","TXD","TopLayer","TEST_1.6","12.5730","30.6070","90","测试点",""
"TP2","RXD","TopLayer","TEST_1.6","10.2533","30.6070","90","测试点",""
"TP1","BOOT0","TopLayer","TEST_1.6","21.7932","26.2890","270","测试点",""
"R37","10K","TopLayer","R0603_M","25.3999","22.6568","0","贴片电阻",""
"R36","4.7K/NC","BottomLayer","R0603_M","18.0341","29.5180","180","贴片电阻",""
"R35","10R","TopLayer","R0603_M","9.9060","7.8993","90","贴片电阻",""
"R34","0R","TopLayer","R0603_M","12.0142","27.9907","90","贴片电阻",""
"R33","0R","TopLayer","R0603_M","10.5410","27.9653","90","贴片电阻",""
"R32","47K","BottomLayer","R0603_M","18.0341","36.4490","180","贴片电阻",""
"R31","47K","BottomLayer","R0603_M","18.0341","37.8460","180","贴片电阻",""
"R30","47K","BottomLayer","R0603_M","18.0341","39.2430","180","贴片电阻",""
"R29","47K","BottomLayer","R0603_M","18.0341","30.9150","180","贴片电阻",""
"R28","47K","BottomLayer","R0603_M","18.0341","32.3120","180","贴片电阻",""
"R27","10K","BottomLayer","R0603_M","15.7480","2.0169","90","贴片电阻",""
"R26","10K","TopLayer","R0603_M","8.3690","32.4612","0","贴片电阻",""
"R25","1K","BottomLayer","R0603_M","17.1450","2.0171","270","贴片电阻",""
"R24","1K","TopLayer","R0603_M","8.3690","34.1122","180","贴片电阻",""
"R23","1K","BottomLayer","R0603_M","7.6200","2.0171","270","贴片电阻",""
"R22","1K","TopLayer","R0603_M","8.3692","39.1160","180","贴片电阻",""
"R21","100K","BottomLayer","R0603_M","9.0170","2.0169","90","贴片电阻",""
"R20","100K","TopLayer","R0603_M","8.3692","37.7190","180","贴片电阻",""
"R19","0R","BottomLayer","R0603_M","26.1620","7.3661","270","贴片电阻",""
"R16","0R","BottomLayer","R0603_M","24.7650","7.3661","270","贴片电阻",""
"R14","10K","BottomLayer","R0603_M","29.9721","13.2080","180","贴片电阻",""
"R13","0R","BottomLayer","R0603_M","20.4470","8.8901","270","贴片电阻",""
"R12","0R","BottomLayer","R0603_M","25.0191","21.8440","180","贴片电阻",""
"R11","0R","BottomLayer","R0603_M","27.1780","22.6190","270","贴片电阻",""
"R10","10K","TopLayer","R0603_M","25.4060","25.4382","180","贴片电阻",""
"R9","10K","TopLayer","R0603_M","32.9308","41.8592","0","贴片电阻",""
"R8","10K","TopLayer","R0603_M","17.9202","48.5790","180","贴片电阻",""
"R7","0.1R","TopLayer","R1206_M","25.8318","38.5826","90","贴片电阻",""
"R6","4.7K","TopLayer","R0402_M","33.9090","23.8430","90","贴片电阻",""
"R5","1M","TopLayer","R0603_M","30.1498","4.7243","90","贴片电阻",""
"R4","100K","TopLayer","R0603_M","17.9071","47.1900","180","贴片电阻",""
"R3","0R","BottomLayer","R0603_M","24.8664","26.3354","0","贴片电阻",""
"R2","10R","TopLayer","R0402_M","26.3906","11.1760","0","贴片电阻",""
"R1","10R","TopLayer","R0402_M","26.3838","12.1222","0","贴片电阻",""
"Q4","MMBT3904","BottomLayer","SOT23-3N","13.0810","2.0658","270","高频放大-NPN型",""
"Q3","MMBT3904","TopLayer","SOT23-3N","12.0650","33.2486","270","高频放大-NPN型",""
"Q2","SI2301","BottomLayer","SOT23-3N","4.8808","2.0658","270","P沟道 20V/2.8A",""
"Q1","SI2301","TopLayer","SOT23-3N","12.0650","36.7030","270","P沟道 20V/2.8A",""
"LED1","电源指示灯","TopLayer","LED0603_G","33.9090","21.3360","270","贴片LED",""
"L2","33uH","TopLayer","CDRH74","20.5486","39.7256","90","CDRH功率屏蔽电感",""
"JP6","HDR-1X4","TopLayer","MX1.25-LT-4P","3.2258","24.5318","270","4P连接器",""
"JP5","HDR-1X4","TopLayer","MX1.25-LT-4P","3.2512","12.3290","270","4P连接器",""
"JP4","HDR-1X2","TopLayer","MX1.25-WT-2P","3.5643","35.8140","270","2P连接器",""
"JP3","HDR-1X2","TopLayer","MX1.25-WT-2P","5.2308","3.9287","0","2P连接器",""
"J1","TF_Card","BottomLayer","Micro_SD","9.8855","36.7270","90","TF卡座",""
"E2","100uF/16V","TopLayer","CS_6*6_-_B","30.0736","30.4800","180","贴片固态电容",""
"C56","100nF","TopLayer","C0603_M","25.3999","24.0538","0","贴片电容/MLCC电容",""
"C55","10nF/NC","BottomLayer","C0603_M","18.0470","28.1210","180","贴片电容/MLCC电容",""
"C54","NC","TopLayer","C0402_L","15.1990","34.6770","0","贴片电容/MLCC电容",""
"C53","NC","TopLayer","C0603_M","11.3030","7.8995","270","贴片电容/MLCC电容",""
"C52","NC","TopLayer","C0402_L","15.1990","36.8770","0","贴片电容/MLCC电容",""
"C51","NC","TopLayer","C0402_L","15.1990","37.9770","0","贴片电容/MLCC电容",""
"C50","NC","TopLayer","C0402_L","15.1973","39.0705","0","贴片电容/MLCC电容",""
"C49","NC","TopLayer","C0402_L","15.1820","31.3690","0","贴片电容/MLCC电容",""
"C48","NC","TopLayer","C0402_L","15.1990","32.4770","0","贴片电容/MLCC电容",""
"C47","100nF","BottomLayer","C0603_M","0.9035","2.0169","90","贴片电容/MLCC电容",""
"C46","10uF","BottomLayer","C0603_M","2.3005","2.0169","90","贴片电容/MLCC电容",""
"C45","10nF/NC","BottomLayer","C0603_M","10.4140","2.0171","270","贴片电容/MLCC电容",""
"C44","10nF/NC","TopLayer","C0603_M","8.3690","36.3220","0","贴片电容/MLCC电容",""
"C43","100nF","BottomLayer","C0603_M","18.0341","35.0520","180","贴片电容/MLCC电容",""
"C42","1uF","TopLayer","C0603_M","15.1508","35.7886","180","贴片电容/MLCC电容",""
"C41","100nF","BottomLayer","C0603_M","22.6060","4.4449","90","贴片电容/MLCC电容",""
"C40","100nF","BottomLayer","C0603_M","27.9401","3.8100","180","贴片电容/MLCC电容",""
"C39","10uF","BottomLayer","C0603_M","27.9530","5.2070","180","贴片电容/MLCC电容",""
"C38","10nF/NC","BottomLayer","C0603_M","29.9721","11.8110","180","贴片电容/MLCC电容",""
"C36","100nF","BottomLayer","C0603_M","24.9770","3.8282","0","贴片电容/MLCC电容",""
"C35","10uF","BottomLayer","C0603_M","24.9935","5.2070","0","贴片电容/MLCC电容",""
"C34","100nF","BottomLayer","C0603_M","27.0511","9.5250","180","贴片电容/MLCC电容",""
"C33","10uF","BottomLayer","C0603_M","27.0380","10.9220","180","贴片电容/MLCC电容",""
"C32","10nF/NC","BottomLayer","C0603_M","24.7142","10.3123","90","贴片电容/MLCC电容",""
"C30","100nF","BottomLayer","C0603_M","22.6190","6.7310","180","贴片电容/MLCC电容",""
"C29","10uF","BottomLayer","C0603_M","22.6190","8.1280","180","贴片电容/MLCC电容",""
"C28","100nF","BottomLayer","C0603_M","22.5682","9.6774","180","贴片电容/MLCC电容",""
"C27","10uF","BottomLayer","C0603_M","22.5682","11.0744","180","贴片电容/MLCC电容",""
"C26","2.2uF","BottomLayer","C0603_M","22.1743","16.6878","180","贴片电容/MLCC电容",""
"C25","12pF","TopLayer","C0603_M","25.4130","20.8280","0","贴片电容/MLCC电容",""
"C24","12pF","TopLayer","C0603_M","25.4130","15.1130","180","贴片电容/MLCC电容",""
"C23","100nF","BottomLayer","C0603_M","20.1422","12.2304","90","贴片电容/MLCC电容",""
"C22","100nF","BottomLayer","C0603_M","20.1049","25.5300","0","贴片电容/MLCC电容",""
"C21","100nF","TopLayer","C0603_M","7.7470","27.9530","90","贴片电容/MLCC电容",""
"C20","100nF","TopLayer","C0603_M","6.9342","7.8995","270","贴片电容/MLCC电容",""
"C19","100nF","BottomLayer","C0603_M","22.3550","20.7799","90","贴片电容/MLCC电容",""
"C18","100nF","BottomLayer","C0603_M","20.1422","15.2145","90","贴片电容/MLCC电容",""
